City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,-1.34,91,19,1.49,CL,2024-05-06
1,praia da vitoria,38.7333,-27.0667,19.14,94,75,12.65,PT,2024-05-06
2,mahajanga,-15.7167,46.3167,26.01,61,20,6.17,MG,2024-05-06
3,nelson,-41.2833,173.2833,10.72,70,8,0.7,NZ,2024-05-06
4,grytviken,-54.2811,-36.5092,0.6,83,69,4.34,GS,2024-05-06
5,upington,-28.4478,21.2561,24.21,20,0,6.17,ZA,2024-05-06
6,gamba,-2.65,10.0,26.01,91,92,2.79,GA,2024-05-06
7,nova vicosa,-17.8919,-39.3719,25.35,83,0,4.07,BR,2024-05-06
8,mhamid,29.82,-5.72,27.1,9,0,2.99,MA,2024-05-06
9,flekkefjord,58.2971,6.6607,11.08,68,90,3.79,NO,2024-05-06
10,edinburgh of the seven seas,-37.0676,-12.3116,13.97,68,67,8.05,SH,2024-05-06
11,punta arenas,-53.15,-70.9167,3.06,87,75,1.03,CL,2024-05-06
12,fort bragg,35.139,-79.006,25.08,84,100,3.6,US,2024-05-06
13,klyuchi,52.2667,79.1667,4.96,58,60,3.42,RU,2024-05-06
14,iqaluit,63.7506,-68.5145,-1.15,64,20,4.63,CA,2024-05-06
15,margaret river,-33.95,115.0667,12.39,87,8,3.32,AU,2024-05-06
16,waitangi,-43.9535,-176.5597,11.57,84,90,3.13,NZ,2024-05-06
17,college,64.8569,-147.8028,1.36,89,100,2.57,US,2024-05-06
18,port-aux-francais,-49.35,70.2167,6.71,97,100,13.22,TF,2024-05-06
19,kodiak,57.79,-152.4072,5.48,85,85,3.71,US,2024-05-06
20,bredasdorp,-34.5322,20.0403,14.78,66,0,1.41,ZA,2024-05-06
21,st. john's,47.5649,-52.7093,6.82,73,100,0.89,CA,2024-05-06
22,qaqortoq,60.7167,-46.0333,-1.1,74,1,1.8,GL,2024-05-06
23,posto fiscal rolim de moura,-13.0833,-62.2667,27.5,68,99,1.07,BR,2024-05-06
24,ushuaia,-54.8,-68.3,0.81,93,100,3.09,AR,2024-05-06
25,opuwo,-18.0607,13.84,17.27,44,1,1.89,NA,2024-05-06
26,christchurch,-43.5333,172.6333,11.34,78,90,1.54,NZ,2024-05-06
27,avarua,-21.2078,-159.775,28.03,89,75,6.17,CK,2024-05-06
28,plettenberg bay,-34.0527,23.3716,16.91,57,0,0.62,ZA,2024-05-06
29,mossel bay,-34.1831,22.146,13.96,76,0,2.31,ZA,2024-05-06
30,santiago juxtlahuaca,17.3333,-98.0167,25.15,38,67,3.03,MX,2024-05-06
31,sitka,57.0531,-135.33,6.76,82,94,2.68,US,2024-05-06
32,dolisie,-4.1997,12.6739,23.41,97,28,1.76,CG,2024-05-06
33,adamstown,-25.066,-130.1015,21.95,78,45,8.19,PN,2024-05-06
34,carnarvon,-24.8667,113.6333,19.06,61,0,7.63,AU,2024-05-06
35,kittila,67.6647,24.8936,-1.92,74,0,4.12,FI,2024-05-06
36,cheria,35.2731,7.7519,19.35,26,88,1.55,DZ,2024-05-06
37,west island,-12.1568,96.8225,26.99,83,40,6.69,CC,2024-05-06
38,nova sintra,14.8667,-24.7167,23.14,79,4,7.94,CV,2024-05-06
39,razampeta,14.1833,79.1667,29.12,68,93,1.32,IN,2024-05-06
40,zomba,-15.386,35.3188,17.36,89,45,1.42,MW,2024-05-06
41,ribeira grande,38.5167,-28.7,18.22,88,40,7.6,PT,2024-05-06
42,port mathurin,-19.6833,63.4167,25.86,72,57,10.82,MU,2024-05-06
43,dongola,19.1667,30.4833,26.53,21,0,5.87,SD,2024-05-06
44,shimoda,34.6667,138.95,18.39,91,100,4.7,JP,2024-05-06
45,fuli,46.7217,131.1394,9.25,42,2,5.32,CN,2024-05-06
46,bethel,41.3712,-73.414,21.93,93,100,1.66,US,2024-05-06
47,datong,40.0936,113.2914,14.79,26,0,3.19,CN,2024-05-06
48,eilat,29.5581,34.9482,20.91,37,0,2.57,IL,2024-05-06
49,kapuskasing,49.4169,-82.4331,17.0,36,75,5.14,CA,2024-05-06
50,pechora,65.1472,57.2244,-0.64,57,100,0.45,RU,2024-05-06
51,ganghwa-gun,37.7472,126.4856,13.01,93,100,3.8,KR,2024-05-06
52,nabire,-3.3667,135.4833,26.91,86,99,0.85,ID,2024-05-06
53,mzimba,-11.9,33.6,17.51,86,6,3.76,MW,2024-05-06
54,monte argentario,42.4345,11.1195,15.47,82,97,6.72,IT,2024-05-06
55,pala,9.3642,14.9046,32.11,15,8,2.73,TD,2024-05-06
56,katpur,21.05,71.7833,28.91,56,0,3.26,IN,2024-05-06
57,isafjordur,66.0755,-23.124,1.7,89,100,3.56,IS,2024-05-06
58,kharabali,47.4196,47.2568,12.38,34,0,2.68,RU,2024-05-06
59,afaahiti,-17.75,-149.2833,28.93,85,73,9.94,PF,2024-05-06
60,bilibino,68.0546,166.4372,-2.79,90,85,1.2,RU,2024-05-06
61,hamilton,39.1834,-84.5333,21.8,90,100,2.06,US,2024-05-06
62,tual,-5.6667,132.75,27.21,84,100,6.62,ID,2024-05-06
63,powell river,49.8496,-124.5361,12.8,54,40,4.12,CA,2024-05-06
64,mezhova,48.2532,36.7347,12.84,77,82,5.15,UA,2024-05-06
65,utrik,11.2278,169.8474,27.28,82,93,8.47,MH,2024-05-06
66,lewiston orchards,46.3804,-116.9754,15.39,54,100,5.14,US,2024-05-06
67,port douglas,-16.4833,145.4667,23.47,87,73,4.29,AU,2024-05-06
68,blackmans bay,-43.0167,147.3167,8.07,85,8,1.16,AU,2024-05-06
69,smithers,54.7804,-127.1743,10.18,43,75,2.57,CA,2024-05-06
70,lompoc,34.6391,-120.4579,23.9,57,0,7.2,US,2024-05-06
71,ouargla,31.9493,5.325,30.25,11,100,4.07,DZ,2024-05-06
72,invercargill,-46.4,168.35,8.34,93,97,3.58,NZ,2024-05-06
73,mezhdurechenskiy,59.6,65.9333,3.7,95,91,3.97,RU,2024-05-06
74,mar del plata,-38.0023,-57.5575,15.05,85,75,3.6,AR,2024-05-06
75,hadibu,12.65,54.0333,29.13,75,65,2.61,YE,2024-05-06
76,igarka,67.4667,86.5833,-7.29,93,100,5.85,RU,2024-05-06
77,saipan,15.1355,145.701,30.39,66,75,4.63,MP,2024-05-06
